Show,Date,Person,Media Type,Media Value,,Title,,,,,,,,,,,,,,,,,,,,,
219,5/1/12,Lily Cole,1,cSGn097HZ00,,Beyond Ourselves,,,,,,,,,,,,,,,,,,,,,
219,5/1/12,Sir Steve Redgrave,1,Ghe7BqTMoEo,,Winning Perspectives,,,,,,,,,,,,,,,,,,,,,
219,5/1/12,Paul Mason,1,GJCFPgp78rI,,Beyond the Revolution,,,,,,,,,,,,,,,,,,,,,
219,5/1/12,Mikko Hypponen,1,1vQmsH6e6Ec,,On Cybersecurity,,,,,,,,,,,,,,,,,,,,,
219,5/1/12,John Eales,1,rhzcHnP6RMI,,Teaming Up for Success,,,,,,,,,,,,,,,,,,,,,
219,5/1/12,Ahmed Shihab-Eldin,1,T60TYanv-Fk,,On Social Journalism,,,,,,,,,,,,,,,,,,,,,
219,5/1/12,Becky Anderson,1,O5HUujvGD_U,,Beyond Ourselves,,,,,,,,,,,,,,,,,,,,,
219,5/1/12,Catherine Mohr,1,HWPiKt70lRs,,"Robot, M.D.",,,,,,,,,,,,,,,,,,,,,
219,5/1/12,Amr Mohamed,1,N7qbSi_EJ8w,,Beyond Ourselves,,,,,,,,,,,,,,,,,,,,,
219,5/1/12,Bassem Youssef,1,HrFkuS1z57E,,Beyond the Revolution,,,,,,,,,,,,,,,,,,,,,
219,10/1/11,Justice Sandra Day O'Connor,1,yAQv2rG3pbM,,"Each of us, All of us",,,,,,,,,,,,,,,,,,,,,
219,10/1/11,Eric Berdinis,1,JhPIvC7Hjs8,,Spirit of the time - Panel with Chelsea Clinton,,,,,,,,,,,,,,,,,,,,,
219,10/1/11,Eike Batista,1,OdOijmCWhds,,Re-thINC,,,,,,,,,,,,,,,,,,,,,
219,10/1/11,Eric Schmidt,1,srI6QYfi-HY,,Playing our Part,,,,,,,,,,,,,,,,,,,,,
219,10/1/11,Patrick Awuah,1,aeHs4HLdCZ0,,Spirit of the time - Patrick Awuah,,,,,,,,,,,,,,,,,,,,,
219,10/1/11,Dean Ornish,1,TdpBa_HnwNY,,"Each of us, All of us - Panel",,,,,,,,,,,,,,,,,,,,,
