Show Code,Date,People,Media Type,Media Code,Media URL,Media Title,
199,12/5/13,Nick Offerman,1,https://www.youtube.com/watch?v=NAybeJPp0gk&index=25&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ,,"Nick Offerman, ""Paddle Your Own Canoe"" | Authors at Google",
199,1/18/14,Dr. Temple Grandin,1,https://www.youtube.com/watch?v=IA4tE3_2qmI&index=22&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ,,"Dr. Temple Grandin, ""The Autistic Brain: Thinking Across the Spectrum"" | Authors At Google",
199,2/10/14,Peter Warren Singer,1,https://www.youtube.com/watch?v=h0SXO5KUZIo&index=21&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ,,"Peter Warren Singer, ""Cybersecurity and Cyberwar: What Everyone Needs to Know"" | Authors at Goolge",
199,2/25/14,Dean Koontz,1,https://www.youtube.com/watch?v=HJekjkEOkQU&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ&index=103,,"Dean Koontz: ""Innocence"" | Talks at Google",
199,2/26/14,Andy Weir,1,https://www.youtube.com/watch?v=gMfuLtjgzA8&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ&index=102,,"Andy Weir: ""The Martian"" | Talks at Google",
199,3/4/14,Rosalind Williams,1,https://www.youtube.com/watch?v=wBz90rYLKC4&index=332&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ,,"Rosalind Williams: ""The Triumph of Human Empire"" | Talks at Google",
199,3/7/14,Sandy Pentland,1,https://www.youtube.com/watch?v=HMBl0ttu-Ow&index=331&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ,,"Sandy Pentland: ""Social Physics: How Good Ideas Spread"" | Talks at Google",
199,3/13/14,Elizabeth Kolbert,1,https://www.youtube.com/watch?v=x00LP0QfRTk&index=80&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ,,"Elizabeth Kolbert: ""The Sixth Extinction: An Unnatural History"" | Talks at Google",
199,3/13/14,Alain de Botton,1,https://www.youtube.com/watch?v=A4aAJrJB6h0&index=329&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ,,"Alain de Botton: ""The News: A User's Manual"" | Talks at Google",
199,3/14/14,Jerry Stahl,1,https://www.youtube.com/watch?v=zfzr6Pfjhdk&index=46&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ,,"Jerry Stahl: ""Happy Mutant Baby Pills"" | Talks at Google",
199,3/27/14,Daniel Suarez,1,https://www.youtube.com/watch?v=deoi50AQEUE&index=19&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ,,"Daniel Suarez: ""Influx"" | Talks at Google",
199,3/27/14,Rebecca Goldstein,1,https://www.youtube.com/watch?v=cJf7pihmgPI&index=20&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ,,"Rebecca Goldstein: ""Plato at the Googleplex"" | Talks at Google",
